Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Lithium Polymer (Li-Po) Battery - 3.7V","Battery for charge",2,12.70,"https://www.kiwi-electronics.com/en/lithium-polymer-li-po-battery-3-7v-350mah-20111","Kiwi electronics"
"Seeed Studio XIAO nRF52840","MCU for keyboard",2,23.80,"https://www.kiwi-electronics.com/en/seeed-studio-xiao-nrf52840-11041","Kiwi electronics"
"JST PH2.0mm","Battery connector",20,1.00,"https://www.aliexpress.com/item/1005009728239947.html?spm=a2g0o.cart.0.0.49b638daNmKkPt&mp=1&pdp_npi=6%40dis%21USD%21USD%201.02%21USD%200.94%21%21USD%200.94%21%21%21%4021038da617759371678077902e9df4%2112000049971117148%21ct%21DK%217012912093%21%211%210%21","Aliexpress"
"Cherry MX Switches","Keycaps",60,25.50,"https://www.aliexpress.com/item/1005005439129217.html?spm=a2g0o.cart.0.0.49b638daNmKkPt&mp=1&pdp_npi=6%40dis%21USD%21USD%2025.49%21USD%2025.49%21%21USD%2025.49%21%21%21%4021038da617759371678077902e9df4%2112000033087019839%21ct%21DK%217012912093%21%211%210%21","Aliexpress"
"0.91 Inch oled","Display for keyboard",2,5.60,"https://www.aliexpress.com/item/1005008640132638.html?spm=a2g0o.cart.0.0.49b638daNmKkPt&mp=1&pdp_npi=6%40dis%21USD%21USD%202.76%21USD%202.76%21%21USD%202.76%21%21%21%4021038da617759371678077902e9df4%2112000046056501835%21ct%21DK%217012912093%21%212%210%21","Aliexpress"
"1N4148W diode","Diodes for pcb",100,2.40,"https://www.aliexpress.com/item/1005010653199938.html?spm=a2g0o.cart.0.0.49b638daNmKkPt&mp=1&pdp_npi=6%40dis%21USD%21USD%204.69%21USD%202.34%21%21USD%202.29%21%21%21%4021038da617759371678077902e9df4%2112000053087454998%21ct%21DK%217012912093%21%211%210%21","Aliexpress"
"Cherry MX Gateron","Switches",50,13.50,"https://www.aliexpress.com/item/1005005371211477.html?spm=a2g0o.cart.0.0.49b638daNmKkPt&mp=1&pdp_npi=6%40dis%21USD%21USD%202.69%21USD%202.69%21%21USD%202.69%21%21%21%4021038da617759371678077902e9df4%2112000032783075058%21ct%21DK%217012912093%21%215%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D","Aliexpress"
