Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","To solder components",5,17.50,"https://cart.jlcpcb.com/shopcart/cart/","JLCPCB"
"Lithium Polymer (Li-Po) Battery - 3.7V","Battery for charge",2,12.70,"https://www.kiwi-electronics.com/en/lithium-polymer-li-po-battery-3-7v-350mah-20111","Kiwi electronics"
"Seeed Studio XIAO nRF52840","MCU for keyboard",2,23.80,"https://www.kiwi-electronics.com/en/seeed-studio-xiao-nrf52840-11041","Kiwi electronics"
"Cherry MX Switches","Keycaps",50,9.80,"https://www.aliexpress.com/item/1005010588479682.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.5.2748XfhVXfhVO9&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=81125b1d-ae07-415d-936b-215de4f9ea6c&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:81125b1d-ae07-415d-936b-215de4f9ea6c,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22144%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%216.85%216.85%21%21%216.85%216.85%21%40211b653717759389378048653e3a0f%2112000052908859251%21rec%21DK%217012912093%21X%211%210%21n_tag%3A-29919%3Bd%3Abee6c4e1%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005010588479682%7C_p_origin_prod%3A","Aliexpress"
"0.91 Inch oled","Display for keyboard",2,5.60,"https://www.aliexpress.com/item/1005008640132638.html?spm=a2g0o.cart.0.0.49b638daNmKkPt&mp=1&pdp_npi=6%40dis%21USD%21USD%202.76%21USD%202.76%21%21USD%202.76%21%21%21%4021038da617759371678077902e9df4%2112000046056501835%21ct%21DK%217012912093%21%212%210%21","Aliexpress"
"1N4148W diode","Diodes for pcb",100,2.40,"https://www.aliexpress.com/item/1005010653199938.html?spm=a2g0o.cart.0.0.49b638daNmKkPt&mp=1&pdp_npi=6%40dis%21USD%21USD%204.69%21USD%202.34%21%21USD%202.29%21%21%21%4021038da617759371678077902e9df4%2112000053087454998%21ct%21DK%217012912093%21%211%210%21","Aliexpress"
"Cherry MX Gateron","Switches",50,13.50,"https://www.aliexpress.com/item/1005005371211477.html?spm=a2g0o.cart.0.0.49b638daNmKkPt&mp=1&pdp_npi=6%40dis%21USD%21USD%202.69%21USD%202.69%21%21USD%202.69%21%21%21%4021038da617759371678077902e9df4%2112000032783075058%21ct%21DK%217012912093%21%215%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D","Aliexpress"
